FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
05/02/2021;RETIRO;CL LOS MESEJO 17;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
11/02/2021;RETIRO;AV CIUDAD DE BARCELONA 95;NO PROGRAMADA;472901 - COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO;COMERCIO MINORISTA ALIMENTACIÓN
20/04/2021;RETIRO;AV CIUDAD DE BARCELONA 95;NO PROGRAMADA;472901 - COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO;COMERCIO MINORISTA ALIMENTACIÓN
18/02/2021;RETIRO;CL CRUZ DEL SUR 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
22/03/2021;RETIRO;CL CRUZ DEL SUR 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
09/04/2021;RETIRO;CL CRUZ DEL SUR 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
17/03/2021;RETIRO;CL SIRIO 28;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
17/03/2021;RETIRO;CL SIRIO 26;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
26/02/2021;RETIRO;CL DOCTOR ESQUERDO 59;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
31/03/2021;RETIRO;CL DOCTOR ESQUERDO 75;PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
08/06/2021;RETIRO;CL DOCTOR ESQUERDO 75;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
08/03/2021;RETIRO;CL IBIZA 33;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/04/2021;RETIRO;CL IBIZA 33;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/04/2021;RETIRO;CL MAIQUEZ 36;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
08/06/2021;RETIRO;CL DOCTOR ESQUERDO 54;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
05/03/2021;RETIRO;CL IBIZA 62;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/04/2021;RETIRO;CL IBIZA 62;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
05/03/2021;RETIRO;CL IBIZA 40;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
26/04/2021;RETIRO;CL IBIZA 40;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
08/03/2021;RETIRO;CL IBIZA 42;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
08/03/2021;RETIRO;CL IBIZA 42;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
23/03/2021;RETIRO;CL ALCALDE SAINZ DE BARANDA 32;NO PROGRAMADA;563004 - TABERNA;RESTAURACIÓN COLECTIVA
22/04/2021;RETIRO;CL ALCALDE SAINZ DE BARANDA 32;NO PROGRAMADA;563004 - TABERNA;RESTAURACIÓN COLECTIVA
06/04/2021;RETIRO;CL ALCALDE SAINZ DE BARANDA 50;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
